iso3,year,phys_inactive_pct
GUY,2011,30.2
GUY,2012,30.6
GUY,2013,31.0
GUY,2014,31.4
GUY,2015,31.9
GUY,2016,32.4
GUY,2017,32.8
GUY,2018,33.2
GUY,2019,33.6
HND,2010,31.6
HND,2011,32.0
HND,2012,32.4
HND,2013,32.9
HND,2014,33.3
HND,2015,33.7
HND,2016,34.2
HND,2017,34.6
HND,2018,35.0
HND,2019,35.4
HRV,2010,18.6
HRV,2011,19.3
HRV,2012,20.0
HRV,2013,20.7
HRV,2014,21.5
HRV,2015,22.3
HRV,2016,23.1
HRV,2017,24.0
HRV,2018,24.8
HRV,2019,25.7
HTI,2010,24.4
HTI,2011,24.7
HTI,2012,25.0
HTI,2013,25.2
HTI,2014,25.5
HTI,2015,25.8
HTI,2016,26.2
HTI,2017,26.5
HTI,2018,26.8
HTI,2019,27.2
HUN,2010,22.6
HUN,2011,23.1
HUN,2012,23.6
HUN,2013,24.2
HUN,2014,24.7
HUN,2015,25.2
HUN,2016,25.8
HUN,2017,26.4
HUN,2018,27.0
HUN,2019,27.6
IDN,2010,16.3
IDN,2011,16.4
IDN,2012,16.6
IDN,2013,16.8
IDN,2014,17.0
IDN,2015,17.2
IDN,2016,17.4
IDN,2017,17.7
IDN,2018,17.9
IDN,2019,18.2
IND,2010,33.7
IND,2011,35.0
IND,2012,36.2
IND,2013,37.5
IND,2014,38.8
IND,2015,40.1
IND,2016,41.4
IND,2017,42.8
IND,2018,44.1
IND,2019,45.4
IRL,2010,31.3
IRL,2011,30.4
IRL,2012,29.6
IRL,2013,28.8
IRL,2014,27.9
IRL,2015,27.1
IRL,2016,26.3
IRL,2017,25.6
IRL,2018,24.8
IRL,2019,24.0
IRN,2010,36.8
IRN,2011,37.6
IRN,2012,38.3
IRN,2013,39.1
IRN,2014,39.9
IRN,2015,40.7
IRN,2016,41.6
IRN,2017,42.4
IRN,2018,43.2
IRN,2019,44.0
IRQ,2010,46.2
IRQ,2011,46.8
IRQ,2012,47.3
IRQ,2013,47.8
IRQ,2014,48.3
IRQ,2015,48.8
IRQ,2016,49.3
IRQ,2017,49.8
IRQ,2018,50.3
IRQ,2019,50.7
ISL,2010,29.3
ISL,2011,29.0
ISL,2012,28.6
ISL,2013,28.3
ISL,2014,28.0
ISL,2015,27.7
ISL,2016,27.4
ISL,2017,27.1
ISL,2018,26.8
ISL,2019,26.5
ISR,2010,31.0
ISR,2011,30.6
ISR,2012,30.1
ISR,2013,29.7
ISR,2014,29.3
ISR,2015,28.9
ISR,2016,28.5
ISR,2017,28.1
ISR,2018,27.8
ISR,2019,27.5
ITA,2010,42.5
ITA,2011,42.3
ITA,2012,42.1
ITA,2013,41.8
ITA,2014,41.6
ITA,2015,41.4
ITA,2016,41.2
ITA,2017,41.0
ITA,2018,40.8
ITA,2019,40.6
JAM,2010,32.7
JAM,2011,33.2
JAM,2012,33.7
JAM,2013,34.2
JAM,2014,34.6
JAM,2015,35.1
JAM,2016,35.6
JAM,2017,36.1
JAM,2018,36.6
JAM,2019,37.1
JOR,2010,27.6
JOR,2011,27.7
JOR,2012,27.7
JOR,2013,27.8
JOR,2014,27.9
JOR,2015,27.9
JOR,2016,28.0
JOR,2017,28.1
JOR,2018,28.1
JOR,2019,28.1
JPN,2010,35.8
JPN,2011,36.5
JPN,2012,37.1
JPN,2013,37.8
JPN,2014,38.5
JPN,2015,39.3
JPN,2016,40.0
JPN,2017,40.8
JPN,2018,41.5
JPN,2019,42.3
KAZ,2010,21.7
KAZ,2011,22.2
KAZ,2012,22.7
KAZ,2013,23.2
KAZ,2014,23.7
KAZ,2015,24.3
KAZ,2016,24.8
KAZ,2017,25.4
KAZ,2018,25.9
KAZ,2019,26.5
KEN,2010,10.8
KEN,2011,10.6
KEN,2012,10.4
KEN,2013,10.2
KEN,2014,10.0
KEN,2015,9.8
KEN,2016,9.7
KEN,2017,9.5
KEN,2018,9.4
KEN,2019,9.2
KGZ,2010,17.7
KGZ,2011,17.8
KGZ,2012,17.9
KGZ,2013,18.1
KGZ,2014,18.3
KGZ,2015,18.4
KGZ,2016,18.6
KGZ,2017,18.8
KGZ,2018,19.0
KGZ,2019,19.2
KHM,2010,13.3
KHM,2011,13.2
KHM,2012,13.2
KHM,2013,13.2
KHM,2014,13.2
KHM,2015,13.1
KHM,2016,13.1
KHM,2017,13.2
KHM,2018,13.2
KHM,2019,13.2
KIR,2010,37.4
KIR,2011,36.8
KIR,2012,36.3
KIR,2013,35.8
KIR,2014,35.4
KIR,2015,34.9
KIR,2016,34.4
KIR,2017,34.0
KIR,2018,33.6
KIR,2019,33.1
KNA,2010,36.5
KNA,2011,36.9
KNA,2012,37.4
KNA,2013,37.8
KNA,2014,38.2
KNA,2015,38.6
KNA,2016,39.1
