iso3,year,life_expectancy
FIN,2013,80.9756097560976
FIN,2014,81.1804878048781
FIN,2015,81.4804878048781
FIN,2016,81.4292682926829
FIN,2017,81.6317073170732
FIN,2018,81.7341463414634
FIN,2019,81.9829268292683
FJI,2010,66.778
FJI,2011,66.88
FJI,2012,65.812
FJI,2013,66.545
FJI,2014,66.581
FJI,2015,66.48
FJI,2016,66.657
FJI,2017,67.06
FJI,2018,66.965
FJI,2019,67.009
FRA,2010,81.6634146341463
FRA,2011,82.1146341463415
FRA,2012,81.9682926829268
FRA,2013,82.219512195122
FRA,2014,82.719512195122
FRA,2015,82.3219512195122
FRA,2016,82.5731707317073
FRA,2017,82.5756097560976
FRA,2018,82.6756097560976
FRA,2019,82.8268292682927
FRO,2010,80.6390243902439
FRO,2011,80.890243902439
FRO,2012,81.090243902439
FRO,2013,81.3414634146341
FRO,2014,81.5926829268293
FRO,2015,81.7926829268293
FRO,2016,81.9926829268293
FRO,2017,82.1439024390244
FRO,2018,82.2926829268293
FRO,2019,82.4439024390244
FSM,2010,64.892
FSM,2011,64.969
FSM,2012,65.08
FSM,2013,65.179
FSM,2014,65.294
FSM,2015,65.306
FSM,2016,65.576
FSM,2017,65.761
FSM,2018,65.943
FSM,2019,66.196
GAB,2010,64.715
GAB,2011,65.102
GAB,2012,65.438
GAB,2013,65.751
GAB,2014,66.07
GAB,2015,66.336
GAB,2016,66.583
GAB,2017,66.816
GAB,2018,67.043
GAB,2019,67.337
GBR,2010,80.4024390243902
GBR,2011,80.9512195121951
GBR,2012,80.9048780487805
GBR,2013,81.0048780487805
GBR,2014,81.3048780487805
GBR,2015,80.9560975609756
GBR,2016,81.1560975609756
GBR,2017,81.2560975609756
GBR,2018,81.2560975609756
GBR,2019,81.3691219512195
GEO,2010,71.732
GEO,2011,72.485
GEO,2012,72.672
GEO,2013,73.025
GEO,2014,73.105
GEO,2015,73.241
GEO,2016,73.136
GEO,2017,73.435
GEO,2018,73.985
GEO,2019,74.165
GHA,2010,61.297
GHA,2011,61.617
GHA,2012,61.995
GHA,2013,62.397
GHA,2014,62.832
GHA,2015,63.175
GHA,2016,63.522
GHA,2017,63.829
GHA,2018,64.138
GHA,2019,64.455
GIB,2010,82.08
GIB,2011,82.333
GIB,2012,82.527
GIB,2013,82.586
GIB,2014,82.644
GIB,2015,82.668
GIB,2016,82.741
GIB,2017,82.858
GIB,2018,83.028
GIB,2019,83.183
GIN,2010,56.431
GIN,2011,56.778
GIN,2012,57.117
GIN,2013,57.459
GIN,2014,57.581
GIN,2015,57.899
GIN,2016,58.49
GIN,2017,58.715
GIN,2018,59.043
GIN,2019,59.379
GMB,2010,61.167
GMB,2011,61.561
GMB,2012,61.9
GMB,2013,62.252
GMB,2014,62.576
GMB,2015,62.971
GMB,2016,63.386
GMB,2017,63.708
GMB,2018,64.034
GMB,2019,64.427
GNB,2010,56.999
GNB,2011,57.663
GNB,2012,58.27
GNB,2013,58.879
GNB,2014,59.476
GNB,2015,60.071
GNB,2016,60.619
GNB,2017,61.148
GNB,2018,61.652
GNB,2019,62.161
GNQ,2010,58.344
GNQ,2011,58.827
GNQ,2012,59.301
GNQ,2013,59.784
GNQ,2014,60.228
GNQ,2015,60.635
GNQ,2016,61.081
GNQ,2017,61.481
GNQ,2018,61.915
GNQ,2019,62.297
GRC,2010,80.3878048780488
GRC,2011,80.7317073170732
GRC,2012,80.6341463414634
GRC,2013,81.2853658536585
GRC,2014,81.3853658536585
GRC,2015,81.0365853658537
GRC,2016,81.3878048780488
GRC,2017,81.2878048780488
GRC,2018,81.7878048780488
GRC,2019,81.6390243902439
GRD,2010,74.731
GRD,2011,74.861
GRD,2012,74.961
GRD,2013,75.022
GRD,2014,75.045
GRD,2015,75.037
GRD,2016,75.01
GRD,2017,74.977
GRD,2018,74.957
GRD,2019,74.971
GRL,2010,70.0807317073171
