iso3,year,life_expectancy,alcohol_lpa,tobacco_pct,phys_inactive_pct,pm25_ugm3,gdp_pc_usd
ROU,2010,73.4585365853659,17.62,33.6,25.6,20.0206954096756,8399.5374234284
ROU,2015,74.9121951219512,16.85,32.0,29.9,17.4955175712912,8977.01748158196
RUS,2010,68.8412195121951,13.76,30.8,13.5,15.378627239492,10674.990234375
RUS,2015,71.1834146341463,11.64,30.0,15.2,12.9392509421972,9277.7138671875
RWA,2010,62.804,1.25,18.6,14.0,30.785874923407,593.624927744346
RWA,2015,65.419,1.37,16.6,11.5,31.2574810856465,733.998630392314
SAU,2010,75.616,0.0,14.3,55.6,59.8441227942823,22028.3901426586
SAU,2015,77.776,0.0,14.4,54.1,65.6121801282607,23256.1549553531
SEN,2010,64.221,0.41,10.2,18.8,57.0129259980585,1275.88357492357
SEN,2015,66.451,0.37,8.4,17.6,70.740985096638,1218.00613555438
SGP,2010,81.5414634146342,1.92,16.6,23.5,13.796807103582,47236.683084953
SGP,2015,82.7439024390244,1.91,16.6,23.2,17.1833032960407,55645.6068614606
SLB,2010,68.669,1.12,40.0,26.4,13.4199037039275,1685.15499035363
SLB,2015,69.323,1.07,38.3,22.1,13.388977783012,2045.47889485251
SLE,2010,51.927,0.31,23.9,15.3,36.9214785886428,685.039673490948
SLE,2015,55.454,0.31,18.4,14.0,51.8061671080408,964.575980888989
SLV,2010,70.909,2.71,11.9,34.1,23.8295394601694,3040.07300952878
SLV,2015,70.952,2.89,10.5,36.2,23.9410831694199,3790.34089108162
SRB,2010,74.3365853658537,9.93,42.4,46.8,31.3045032362704,5970.92660940072
SRB,2015,75.2878048780488,7.84,41.1,45.8,27.8632692496949,5820.3215576888
STP,2010,63.867,5.92,7.3,17.9,21.9422424710632,1045.20958234528
STP,2015,66.023,5.93,7.4,17.7,26.1500664634377,1298.10946596396
SVK,2010,75.1121951219512,10.54,31.8,24.8,21.4676594892892,16899.448680529
SVK,2015,76.5634146341463,10.32,31.9,24.0,19.1867476350431,16442.0760860018
SVN,2010,79.4219512195122,11.14,23.0,18.8,18.9417578654309,23329.8417691156
SVN,2015,80.7756097560976,11.58,21.8,18.6,17.7209260643327,20697.2748530619
SWE,2010,81.4512195121951,9.79,33.4,18.5,7.82247575410873,52542.8274141037
SWE,2015,82.2048780487805,9.45,28.3,13.7,6.30260504424704,51197.9529341175
SWZ,2010,48.331,7.15,10.8,21.7,21.8022399292635,3992.95199562618
SWZ,2015,54.941,7.73,10.2,20.4,21.048617578007,3420.75357067279
SYC,2010,73.1975609756098,7.77,24.9,21.4,8.99566322405777,10934.79494629
SYC,2015,74.2951219512195,12.03,22.7,20.8,9.00174536475684,15333.1051727105
TCD,2010,50.107,3.86,9.0,20.7,52.6348532986167,1141.80069268412
TCD,2015,51.32,4.58,8.3,19.1,64.3827504839855,993.990730610869
TGO,2010,57.227,1.79,10.2,14.0,47.1272031157292,704.987164181378
TGO,2015,59.22,1.72,8.3,14.1,67.316079169015,751.052405084336
THA,2010,75.012,7.57,22.6,21.0,33.4690505539545,4973.86288823778
THA,2015,76.563,8.16,21.1,24.0,28.1544413826202,5688.85335397884
TKM,2010,68.608,2.66,9.3,14.3,21.4722278171731,4058.53937000739
TKM,2015,69.061,3.2,7.5,13.2,23.6762817457625,5759.497903834
TLS,2010,63.66,0.3,46.2,20.6,17.660538991967,813.060177250597
TLS,2015,65.326,0.47,43.0,22.9,15.7619976595415,1319.59297370991
TON,2010,71.319,1.18,32.3,30.8,12.3324714777308,3416.08356601207
TON,2015,71.851,0.36,31.8,30.6,11.7395693014278,4123.90347238813
TUN,2010,74.438,1.66,25.0,27.2,27.1525896814577,4291.86120891575
TUN,2015,74.875,2.03,23.0,29.7,23.6344412527314,4014.94773686432
TUR,2010,74.964,2.12,32.0,41.6,24.6357302627663,10622.7020439723
TUR,2015,76.539,1.9,31.3,42.8,24.5603763797256,11049.9951100942
TUV,2010,64.834,1.59,40.7,30.9,5.51800010573225,3024.8170790571
TUV,2015,65.365,1.86,37.6,27.8,5.47628221924294,3357.83417700071
TZA,2010,61.127,11.92,16.8,8.1,23.1053112582158,736.530151367188
TZA,2015,63.928,11.65,13.1,6.1,25.1682619442571,939.127319335938
UGA,2010,59.959,14.0,14.6,7.9,32.517551165181,823.488144282
